"timeMerged","stress_outbreak","BAs_shopping","pss_1","pss_2","pss_3","pss_4","pss_5","pss_6","pss_7","pss_8","pss_9","pss_10","pss_11","pss_12","pss_13","pss_14"
3,1,"a little bit",1,1,3,1,1,1,1,1,1,1,1,5,1,1
3,9,"somewhat",3,3,5,3,1,2,2,4,2,2,3,4,2,3
3,8,"quite a lot",5,5,5,4,4,4,4,5,4,4,5,4,3,5
3,9,"somewhat",4,3,4,2,3,2,3,1,2,2,3,3,2,1
3,9,"somewhat",4,5,4,3,1,2,2,3,2,1,5,4,3,4
3,8,"quite a lot",3,3,1,4,4,2,2,3,4,4,2,3,3,3
3,7,"a little bit",2,2,3,1,2,2,2,1,3,1,3,3,3,1
3,6,"not at all",1,3,3,2,3,3,3,2,2,3,2,5,1,3
3,7,"a little bit",3,4,4,1,3,2,3,4,2,1,3,4,2,5
3,2,"not at all",1,1,1,1,1,1,1,1,1,1,1,5,1,1
3,8,"a little bit",3,3,5,4,4,4,4,3,4,4,3,4,3,3
3,10,"a little bit",3,4,4,3,3,4,4,4,3,4,2,3,2,4
3,1,"somewhat",1,1,1,1,1,1,1,1,1,1,1,3,1,1
3,8,"somewhat",1,1,2,1,2,1,1,1,1,1,1,3,1,1
3,8,"not at all",3,3,3,3,3,2,3,3,3,2,3,4,2,2
3,9,"somewhat",3,3,5,4,4,4,3,5,4,4,1,4,3,5
3,2,"not at all",1,4,2,1,1,1,2,1,2,2,1,1,2,1
3,7,"somewhat",3,3,4,2,3,2,3,2,3,3,2,5,2,2
3,8,"a little bit",4,3,4,2,3,3,3,3,3,3,4,4,4,3
3,5,"somewhat",2,2,4,3,3,2,3,2,3,3,2,5,3,2
3,3,"not at all",2,2,2,2,2,2,2,1,2,2,2,3,3,1
3,8,"a little bit",3,2,4,1,1,2,2,1,2,2,2,5,3,1
3,7,"somewhat",3,3,5,3,2,3,3,2,2,3,3,4,3,2
4,8,"somewhat",4,4,3,2,2,2,3,3,2,2,4,4,2,4
4,8,"a little bit",3,4,3,2,3,3,2,3,3,2,4,3,2,4
4,8,"somewhat",3,5,4,3,1,3,2,4,2,2,5,5,1,5
4,3,"a little bit",1,2,2,1,2,2,2,1,2,2,2,4,2,1
4,3,"not at all",1,1,1,1,1,1,5,1,1,1,1,4,2,1
4,9,"somewhat",4,5,3,2,2,1,2,5,2,1,4,3,2,3
4,9,"not at all",3,3,4,3,3,2,4,3,3,3,3,4,3,3
4,7,"a little bit",4,3,2,4,5,3,1,4,4,4,5,1,4,4
4,5,"a little bit",2,3,2,4,3,3,2,2,2,3,2,4,2,2
4,5,"a little bit",1,1,2,1,2,2,2,1,2,2,1,1,3,1
4,8,"a little bit",4,5,5,3,3,3,5,3,4,3,4,5,3,4
4,8,"a little bit",3,2,3,2,1,5,2,2,3,1,3,4,1,1
4,5,"a little bit",3,2,2,1,4,1,2,2,2,1,3,5,3,1
4,5,"a little bit",3,3,4,4,3,3,2,4,2,4,4,4,3,5
4,5,"somewhat",3,4,2,3,3,2,3,2,3,2,3,3,4,2
4,8,"not at all",4,3,4,4,3,4,4,3,4,4,4,4,4,4
4,8,"a little bit",2,2,3,1,1,2,2,1,1,1,2,4,1,1
4,8,"somewhat",4,3,2,4,3,3,3,3,2,3,3,2,3,3
4,3,"not at all",2,5,2,2,2,3,3,1,2,3,2,2,3,1
4,5,"a little bit",4,3,3,2,3,3,2,2,2,4,3,2,3,3
4,7,"somewhat",3,4,3,2,3,2,3,2,4,2,4,3,3,3
4,3,"quite a lot",2,1,1,5,1,1,1,1,1,1,1,4,2,1
4,2,"not at all",2,1,2,2,1,1,2,2,2,1,2,3,1,2
4,7,"a little bit",3,3,4,4,4,5,5,4,4,5,3,3,3,4
4,9,"a little bit",3,3,4,3,2,3,2,3,3,3,3,3,3,4
4,8,"quite a lot",4,4,3,1,3,2,2,4,1,3,5,3,1,4
4,9,"quite a lot",3,5,4,2,3,2,1,4,2,1,4,4,3,5
4,8,"somewhat",3,3,5,3,3,2,3,4,3,2,3,4,2,4
4,4,"not at all",5,3,5,3,3,2,2,2,5,3,2,2,2,1
4,9,"quite a lot",2,4,4,3,2,3,3,4,2,4,4,4,2,3
4,10,"not at all",4,3,4,2,3,3,3,3,2,3,3,4,3,4
4,4,"a little bit",2,1,2,2,2,2,2,2,3,3,1,5,3,1
4,1,"a little bit",1,1,1,1,1,1,1,1,1,1,1,4,1,1
4,5,"quite a lot",5,4,3,2,1,2,1,5,2,2,4,3,1,4
4,4,"a little bit",2,2,3,1,2,1,4,1,4,3,2,3,2,1
4,7,"not at all",1,2,3,2,1,1,2,2,2,2,2,3,3,1
4,6,"somewhat",3,4,4,3,3,3,2,3,2,3,4,3,2,3
4,8,"quite a lot",3,2,2,5,2,3,3,2,5,2,3,3,4,2
4,9,"a little bit",4,4,3,4,1,3,2,3,1,3,4,3,2,2
4,8,"quite a lot",5,2,4,2,2,3,2,3,1,3,5,3,2,4
4,9,"quite a lot",4,5,5,2,1,2,2,5,3,2,4,4,3,5
4,9,"too much",4,4,4,2,2,4,2,3,3,2,2,3,3,4
4,6,"a little bit",2,3,2,3,4,2,3,3,3,3,4,3,2,2
4,7,"somewhat",4,3,3,3,2,3,2,3,2,2,3,3,2,2
4,5,"not at all",3,3,2,2,2,2,3,1,2,3,3,3,2,1
4,6,"a little bit",2,2,3,2,1,1,3,2,2,2,2,4,2,2
4,5,"quite a lot",2,1,2,2,2,1,2,2,2,3,2,4,2,2
4,9,"quite a lot",5,3,4,3,2,2,2,4,3,3,3,3,1,2
4,3,"quite a lot",1,1,1,4,1,1,1,1,1,1,1,5,1,1
4,6,"not at all",1,1,2,2,2,2,3,1,3,2,1,2,2,1
4,6,"a little bit",2,2,2,3,3,2,3,1,2,3,1,4,2,1
4,3,"somewhat",3,3,5,2,3,1,2,4,2,3,5,2,2,4
4,10,"somewhat",3,2,4,3,1,1,2,3,2,3,5,4,3,2
4,10,"somewhat",3,4,4,2,2,2,2,4,2,2,4,5,2,4
4,3,"somewhat",3,2,4,2,2,3,3,3,3,2,3,4,3,3
4,6,"a little bit",5,4,3,3,2,1,3,4,4,2,3,5,2,3
4,8,"a little bit",3,4,5,3,3,3,3,4,3,3,4,3,3,4
4,5,"a little bit",1,2,3,2,2,1,3,1,1,2,1,4,2,1
4,7,"a little bit",3,4,4,3,2,3,3,3,3,2,4,3,2,2
4,9,"quite a lot",4,4,4,3,4,4,1,4,2,3,5,3,2,3
4,10,"a little bit",5,5,5,5,5,5,5,3,5,5,5,3,5,5
4,9,"not at all",3,3,4,3,2,2,3,3,2,4,2,3,3,3
4,9,"a little bit",3,3,4,3,3,3,3,3,3,3,3,5,3,3
4,9,"quite a lot",4,4,5,2,2,1,2,5,1,1,4,5,2,5
4,8,"somewhat",4,4,3,3,3,2,4,4,3,3,4,3,4,3
4,2,"a little bit",2,1,3,2,3,4,2,3,4,4,4,4,1,3
4,4,"not at all",2,2,2,3,5,5,5,2,5,4,1,2,4,1
4,9,"quite a lot",3,5,4,1,2,2,1,4,1,1,4,5,1,5
4,7,"a little bit",3,3,2,2,2,3,3,1,2,3,2,3,2,2
4,7,"a little bit",2,1,1,1,2,4,2,2,1,1,2,4,2,1
4,2,"somewhat",2,1,2,1,1,1,1,1,1,1,2,4,1,1
4,8,"quite a lot",4,4,4,1,1,1,2,4,1,2,4,5,1,5
4,9,"quite a lot",5,4,3,3,2,2,1,3,3,2,4,3,3,4
4,9,"quite a lot",3,4,4,2,3,3,3,3,3,2,3,4,2,4
4,9,"quite a lot",3,4,5,1,5,2,2,3,2,2,5,4,5,4
4,7,"a little bit",2,4,3,2,4,2,3,3,2,2,3,2,2,2
4,3,"a little bit",2,1,1,2,2,2,2,1,3,2,2,3,1,1
4,3,"not at all",1,1,1,5,5,5,5,1,5,5,1,1,5,1
